"Toxicant","strain1","strain2","Relative.Potency.Estimate","SE","t.value","p.value","p...0.05"
"Zinc chloride","strainCB4856","strainMY16",0.893952483444893,0.0529374949527204,-2.00325906335047,"0.04526","T"
"Zinc chloride","strainCB4856","strainPD1074",0.851162446283599,0.053771931776168,-2.76794135527722,"0.005684","T"
"Zinc chloride","strainCB4856","strainRC301",0.986390537818141,0.0561969768252033,-0.242174276103684,"0.808666","F"
"Zinc chloride","strainCB4856","strainXZ1516",0.994665001680252,0.0564532563879734,-0.0945029332423856,"0.924717","F"
"Zinc chloride","strainECA248","strainECA36",0.973664065113865,0.0549665324154398,-0.479126729099209,"0.631891","F"
"Zinc chloride","strainECA248","strainECA396",1.28012182284342,0.0702220608043217,3.98908576072697,"0.000068","T"
"Zinc chloride","strainECA248","strainMY16",1.00477875172332,0.0561732307745269,0.0850716908646837,"0.932211","F"
"Zinc chloride","strainECA248","strainPD1074",0.95668389106648,0.0575453700770519,-0.752729696160106,"0.451685","F"
"Zinc chloride","strainECA248","strainRC301",1.1086766597273,0.0593667450865552,1.83059825107222,"0.067283","F"
"Zinc chloride","strainECA248","strainXZ1516",1.11797693644728,0.0596213480421815,1.97877002653163,"0.047954","T"
"Zinc chloride","strainECA36","strainECA396",1.31474691190716,0.0734873617144306,4.28300737112122,"0.000019","T"
"Zinc chloride","strainECA36","strainMY16",1.03195628525719,0.0586723891087234,0.544656281133798,"0.58604","F"
"Zinc chloride","strainECA36","strainPD1074",0.982560541509356,0.0599750197517612,-0.290778703580698,"0.771245","F"
"Zinc chloride","strainECA36","strainRC301",1.13866445260835,0.0621125196637699,2.23247186491504,"0.025674","T"
"Zinc chloride","strainECA36","strainXZ1516",1.14821628578491,0.0623926419288699,2.37554110873977,"0.0176","T"
"Zinc chloride","strainECA396","strainMY16",0.78490869680785,0.0434278397068589,-4.95284372061866,"0.000001","T"
"Zinc chloride","strainECA396","strainPD1074",0.747338162661333,0.0444629918649762,-5.68251992816729,"<< 0.00001","T"
"Zinc chloride","strainECA396","strainRC301",0.866071212866828,0.0457737790680788,-2.92588442247648,"0.003467","T"
"Zinc chloride","strainECA396","strainXZ1516",0.873336362600252,0.0459319669094334,-2.75763582364103,"0.005866","T"
"Zinc chloride","strainMY16","strainPD1074",0.952133879648278,0.0576343972295189,-0.830513072967576,"0.40633","F"
"Zinc chloride","strainMY16","strainRC301",1.10340376707387,0.0595636642841638,1.73602091672132,"0.082687","F"
"Zinc chloride","strainMY16","strainXZ1516",1.11265981145581,0.059827095002694,1.88309011912983,"0.059807","F"
"Zinc chloride","strainPD1074","strainRC301",1.15887459805703,0.0676357349105532,2.34897422593447,"0.018905","T"
"Zinc chloride","strainPD1074","strainXZ1516",1.16859596663742,0.0679699163926,2.48044981640985,"0.013189","T"
"Zinc chloride","strainRC301","strainXZ1516",1.0083886285856,0.0517315618806735,0.162156878328057,"0.871196","F"
"Aldicarb","strainCB4856","strainECA248",1.28427540809886,0.0631555881386962,4.50119168353822,"0.000007","T"
"Aldicarb","strainCB4856","strainECA36",1.06762987181848,0.054172609600567,1.24841450905053,"0.211968","F"
"Aldicarb","strainCB4856","strainECA396",1.16027155376235,0.0598596059593512,2.67745754743504,"0.007455","T"
